id,latitude,longitude,timestamp
0,335108462,-1171401536,2013-05-17 21:25:43
1,335108474,-1171401597,2013-05-17 21:26:44
2,335108506,-1171401866,2013-05-17 21:29:44
3,335108266,-1171402119,2013-05-17 21:31:44
4,335108221,-1171402087,2013-05-17 21:32:44
5,335108371,-1171402049,2013-05-17 21:35:44
6,335108863,-1171402061,2013-05-17 21:38:44
7,335108863,-1171402061,2013-05-17 21:41:44
8,335108863,-1171402061,2013-05-17 21:44:44
9,335108863,-1171402061,2013-05-17 21:45:44
10,335108863,-1171402061,2013-05-17 21:47:44
11,335108863,-1171402061,2013-05-17 21:50:44
12,335108863,-1171402061,2013-05-17 21:53:44
13,335108863,-1171402061,2013-05-17 21:54:44
14,335108863,-1171402061,2013-05-17 21:55:44
15,335108863,-1171402061,2013-05-17 21:56:44
16,335108863,-1171402061,2013-05-17 21:59:44
17,335108863,-1171402061,2013-05-17 22:00:44
18,335108863,-1171402061,2013-05-17 22:01:44
19,335108863,-1171402061,2013-05-17 22:03:44
20,335108863,-1171402061,2013-05-17 22:04:44
21,335108863,-1171402061,2013-05-17 22:05:44
22,335108863,-1171402061,2013-05-17 22:06:44
23,335108863,-1171402061,2013-05-17 22:07:44
24,335108863,-1171402061,2013-05-17 22:08:45
25,335108863,-1171402061,2013-05-17 22:11:45
26,335108863,-1171402061,2013-05-17 22:14:45
27,335108863,-1171402061,2013-05-17 22:15:45
28,335108863,-1171402061,2013-05-17 22:17:45
29,335108863,-1171402061,2013-05-17 22:18:45
30,335108863,-1171402061,2013-05-17 22:20:45
31,335108863,-1171402061,2013-05-17 22:21:45
32,335108863,-1171402061,2013-05-17 22:23:45
33,335108863,-1171402061,2013-05-17 22:24:45
34,335108863,-1171402061,2013-05-17 22:26:45
35,335108863,-1171402061,2013-05-17 22:29:45
36,335108863,-1171402061,2013-05-17 22:32:45
37,335108863,-1171402061,2013-05-17 22:35:45
38,335108863,-1171402061,2013-05-17 22:39:06
39,335108863,-1171402061,2013-05-17 22:40:06
40,335108863,-1171402061,2013-05-17 22:41:06
41,335108863,-1171402061,2013-05-17 22:42:06
42,335108863,-1171402061,2013-05-17 22:43:06
43,335108863,-1171402061,2013-05-17 22:44:06
44,335108863,-1171402061,2013-05-17 22:46:06
45,335108863,-1171402061,2013-05-17 22:49:06
