name,coordinate,creation_timestamp
Sacramento,"{'latitude': 38.57747, 'longitude': -121.50632}",1568090618
Sacramento,"{'latitude': 38.58035, 'longitude': -121.50588}",1568085989
Sacramento,"{'latitude': 38.57854, 'longitude': -121.50769}",1568077906
Citrus Heights,"{'latitude': 38.67853, 'longitude': -121.32029}",1568074492
Citrus Heights,"{'latitude': 38.679, 'longitude': -121.26506}",1568063507
Citrus Heights,"{'latitude': 38.68219, 'longitude': -121.26486}",1567994047
Citrus Heights,"{'latitude': 38.68208, 'longitude': -121.26487}",1567983078
Citrus Heights,"{'latitude': 38.66405, 'longitude': -121.30774}",1567963869
Citrus Heights,"{'latitude': 38.68215, 'longitude': -121.26491}",1567954305
Citrus Heights,"{'latitude': 38.68204, 'longitude': -121.26498}",1567916233
Citrus Heights,"{'latitude': 38.67302, 'longitude': -121.27348}",1567909936
Citrus Heights,"{'latitude': 38.68208, 'longitude': -121.26497}",1567863899
Citrus Heights,"{'latitude': 38.68215, 'longitude': -121.26487}",1567831402
Citrus Heights,"{'latitude': 38.68213, 'longitude': -121.2649}",1567798275
Citrus Heights,"{'latitude': 38.68218, 'longitude': -121.26492}",1567779200
Citrus Heights,"{'latitude': 38.68213, 'longitude': -121.26486}",1567746337
Citrus Heights,"{'latitude': 38.68219, 'longitude': -121.26589}",1567723191
Citrus Heights,"{'latitude': 38.68804, 'longitude': -121.26439}",1567722672
Rancho Cordova,"{'latitude': 38.61793, 'longitude': -121.26819}",1567721788
Folsom,"{'latitude': 38.64951, 'longitude': -121.11851}",1567715118
Folsom,"{'latitude': 38.64756, 'longitude': -121.11519}",1567714941
Citrus Heights,"{'latitude': 38.67889, 'longitude': -121.26518}",1567710494
Citrus Heights,"{'latitude': 38.67433, 'longitude': -121.27023}",1567705746
Citrus Heights,"{'latitude': 38.67831, 'longitude': -121.27201}",1567702163
Citrus Heights,"{'latitude': 38.68217, 'longitude': -121.26493}",1567690523
Citrus Heights,"{'latitude': 38.68202, 'longitude': -121.2648}",1567659442
Citrus Heights,"{'latitude': 38.67809, 'longitude': -121.31116}",1567656264
Sacramento,"{'latitude': 38.64119, 'longitude': -121.44791}",1567655702
Sacramento,"{'latitude': 38.63598, 'longitude': -121.49595}",1567655565
Sacramento,"{'latitude': 38.58376, 'longitude': -121.50211}",1567655341
Sacramento,"{'latitude': 38.57976, 'longitude': -121.50419}",1567645958
Sacramento,"{'latitude': 38.63475, 'longitude': -121.49898}",1567645412
Citrus Heights,"{'latitude': 38.67825, 'longitude': -121.31959}",1567644617
Citrus Heights,"{'latitude': 38.68222, 'longitude': -121.26488}",1567602366
Citrus Heights,"{'latitude': 38.6821, 'longitude': -121.26492}",1567568856
Fair Oaks,"{'latitude': 38.66398, 'longitude': -121.27247}",1567547413
Citrus Heights,"{'latitude': 38.67498, 'longitude': -121.27302}",1567539029
Citrus Heights,"{'latitude': 38.67846, 'longitude': -121.27103}",1567537465
Citrus Heights,"{'latitude': 38.68207, 'longitude': -121.26502}",1567518101
Citrus Heights,"{'latitude': 38.68208, 'longitude': -121.26492}",1567481114
Citrus Heights,"{'latitude': 38.69963, 'longitude': -121.31222}",1567474389
Citrus Heights,"{'latitude': 38.70623, 'longitude': -121.26682}",1567467745
Citrus Heights,"{'latitude': 38.68217, 'longitude': -121.26486}",1567441656
Citrus Heights,"{'latitude': 38.67893, 'longitude': -121.26488}",1567438962
Citrus Heights,"{'latitude': 38.68213, 'longitude': -121.26492}",1567433007
Citrus Heights,"{'latitude': 38.68202, 'longitude': -121.26497}",1567374472
Citrus Heights,"{'latitude': 38.67868, 'longitude': -121.26711}",1567372424
Roseville,"{'latitude': 38.78964, 'longitude': -121.28497}",1567369281
Citrus Heights,"{'latitude': 38.68108, 'longitude': -121.33242}",1567368173
Citrus Heights,"{'latitude': 38.67859, 'longitude': -121.26274}",1567357492
Citrus Heights,"{'latitude': 38.68217, 'longitude': -121.26491}",1567344152
Citrus Heights,"{'latitude': 38.68207, 'longitude': -121.26492}",1567328601
Citrus Heights,"{'latitude': 38.68205, 'longitude': -121.2649}",1567294195
Foothill Farms,"{'latitude': 38.67229, 'longitude': -121.34761}",1567291684
Fairfield,"{'latitude': 38.27951, 'longitude': -122.04431}",1567287929
Clima,"{'latitude': 38.23909, 'longitude': -122.09399}",1567287201
Cordelia,"{'latitude': 38.18436, 'longitude': -122.13504}",1567286850
Oakland,"{'latitude': 37.81245, 'longitude': -122.26161}",1567282824
Oakland,"{'latitude': 37.80953, 'longitude': -122.24918}",1567278759
Oakland,"{'latitude': 37.81484, 'longitude': -122.27586}",1567267580
Oakland,"{'latitude': 37.78757, 'longitude': -122.25099}",1567266322
Batavia,"{'latitude': 38.42337, 'longitude': -121.88809}",1567260956
Dixon,"{'latitude': 38.48147, 'longitude': -121.81308}",1567260689
Davis,"{'latitude': 38.54736, 'longitude': -121.7195}",1567260358
Citrus Heights,"{'latitude': 38.68203, 'longitude': -121.265}",1567253840
Citrus Heights,"{'latitude': 38.68204, 'longitude': -121.26498}",1567211288
Citrus Heights,"{'latitude': 38.67606, 'longitude': -121.27344}",1567210101
Citrus Heights,"{'latitude': 38.67329, 'longitude': -121.27421}",1567208810
Rancho Cordova,"{'latitude': 38.61515, 'longitude': -121.26904}",1567206202
Gold River,"{'latitude': 38.61093, 'longitude': -121.26491}",1567205915
